_id,arabic_name,description,type,latitude,longitude,directorate,directorate_latitude,directorate_longitude,icon,tags,start_time,end_time,phone_no
1,"سەنتەرێ ئاكرێ یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Akre 122 Emergency Sub-coordination Center",centers,36.7355,43.8826,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
2,"سەنتەرێ شوشتنا کولجیسکا ل ئاکرێ","Akre Dialysis Center",centers,36.7366,43.8861,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
3,"سەنتەرێ نەخوشیێن تالاسیمیا ل ئاکرێ","Akre Thalassemia Center",centers,36.7366,43.8861,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
4,"سەنتەرێ سه‌رسنگ یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Sarsing 122 Emergency  Sub-coordination Center",centers,37.0458,43.3535,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
5,"سەنتەرێ كانی ماصێ یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Kani Mase 122 Emergency Sub-coordination Center",centers,37.2299,43.4417,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
6,"سەنتەرێ شێلادزێ یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Sheladze 122 Emergency Sub-coordination Center",centers,37.0261,43.8013,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
7,"سەنتەرێ به‌رده‌ره‌ش یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Bardarash 122 Emergency  Sub-coordination Center",centers,36.5044,43.5887,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
8,"سەنتەرێ كه‌له‌ك یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Kalak 122 Emergency Sub-coordination Center",centers,36.2686,43.6367,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
9,"سەنتەرێ روڤیا یێ لاوه‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","Rovia 122 Emergency Sub-coordination Center",centers,36.62,43.7028,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
10,"سەنتەرێ سه‌ره‌كی یێ هەماهەنگیا هاوارهاتنا بلەز","PHC/Main 122 Emergency Coordination Center",centers,36.8465,43.0103,Duhok,36.942876,42.941769,center.png,"Specelized center","8:00 AM","1:30 PM",NULL
